id	x	y	level	cluster_id
f5b60a94-00bd-54a5-b486-30e19f00d41a	-488.2511759	-114.3815355	3	null
1f5b0c4c-85ab-542b-ba2e-2947569edcac	-499.1103059	-69.8085555	3	null
efa70806-ea78-5dda-bb9f-c858f67cf426	-478.40217590000003	-35.2108305	3	null
bac28c7c-936e-5178-8bdf-4f8f15d2d011	-492.5443259	-15.2603195	3	null
c99b7d35-8f35-5d75-a103-d8ab31211d65	-330.5633459	172.5056145	3	null
96d781eb-23f8-5c2b-bcfb-fe9e14e3ec76	-16.7638	-112.48	4	3988
f5604201-75fb-514b-b0d7-433e85a653f9	-90.4689	-433.2271	4	38
57b2fd69-5c72-5745-a80c-3221ed6b7663	-110.9676	-437.5041	4	31081
914db98e-d579-53aa-84b3-bb327ad748fe	-96.4452	-442.4133	4	2235
f542b57f-2d45-5cd4-a32b-3991679cde14	-116.6477	-421.9907	4	1539
20f76620-83ce-5683-b17d-f2b9bc8e13a2	-146.3399	-422.7664	4	756
a07cddbc-7d93-55ad-a55e-1e1fa570bb59	-145.5113	-419.3019	4	23565
5c275b5e-31c0-5a90-8cc7-bd9739ff23fd	-143.9135	-415.8557	4	6490
1004c3c0-c3ba-564f-9137-7e9eddd8f3ab	-145.0949	-413.7712	4	1050
b6ced7bb-2324-5882-bc2d-f0296e46eb57	-136.1274	-409.1759	4	958
5165e7a5-2b22-5ae9-bca4-b0bd62c42dd9	-142.3421	-404.5351	4	4230
e550d83a-9c1e-5007-951c-7cdb46620177	-139.0765	-398.2527	4	8203
d8f9af5d-30e2-5d8d-aea9-c078e845ca7e	-146.8366	-432.3339	4	503
6bc186df-c5cc-5c01-a6b4-5f0c41578dac	-138.7501	-437.0428	4	11245
70b5174c-bab6-539b-9197-5015cc5c1515	-161.6081	-413.3593	4	724
5b032c83-a654-5669-a7ce-acead07e64b3	-168.0227	-412.4355	4	444
2e664e47-6ee5-5e48-bda0-3bb374e8d94e	-158.5725	-411.5472	4	457
364e6c66-dc7d-500a-bf16-6062438a3958	-180.293	-412.7155	4	16432
0db5b4fc-3f9b-542b-9df4-688cfb5e65fe	-166.4222	-413.8883	4	10916
1de5612e-fd39-5de2-88de-20b0a608c6ea	-169.7622	-404.0301	4	1945
27bb77b8-cd6a-5d34-b4bd-f768feef1ace	-292.2015	-350.5782	4	3172
48586fd7-0455-5e96-9785-e41608953831	70.0219	114.1335	4	30288
b1cde3f7-9aa4-5b4a-bde5-e453788e7353	61.575	127.6941	4	9188
f986dc8e-4bd0-5716-8730-e08ee604d228	72.6913	129.1169	4	3769
92fa7228-a3ff-589a-8cca-272031ab5f45	75.9406	133.7023	4	5903
91d1ceeb-e812-5f8a-8ade-7188cbd9f494	92.4596	128.8862	4	5408
bd177048-5bb6-55a0-b72a-661e6392b0de	99.3665	138.8423	4	15797
0e6fe660-bcc9-55d8-816d-a2464b13d4f6	65.8955	138.4231	4	7417
327eb56a-db36-51b7-8b1a-344141e61b75	58.4353	176.2148	4	6769
adf34f00-68ba-517a-8c5c-88c473fe53f8	43.4202	193.1173	4	532
27a03aaf-7fc9-55c3-bbb4-16a3eaff1590	26.3067	208.9363	4	388
eef3dee9-03f3-5325-84c3-bf0c6928a27d	20.0119	214.8492	4	3370
5280afcc-8fb6-5537-aead-5076e37f6fd9	6.9884	209.6907	4	7456
0bc0d38d-05c0-53d9-a998-3407ca5227df	331.2192	-204.4804	4	29061
95561527-5303-5559-b600-ea6c557e490a	314.8472	-180.2832	4	44254
e4222d7e-7a23-5e19-832d-edb09f7c0f5b	317.6461	-172.6211	4	2190
7128c90f-c9f6-535e-b1fe-51b61ca668fe	337.1042	-199.2622	4	9423
426e3bdd-ac62-5f24-a37b-b9e12be02225	346.1244	-211.7005	4	3121
2535fd06-535c-51fa-a356-c5802198f485	275.7931	-187.4679	4	5500
e1d54a32-bb0e-55f9-9b63-192384b8cf15	279.3186	-183.9256	4	414
40a1d028-4a8d-5205-8385-dd9c70c052a5	271.6015	-180.2448	4	27
77f8b679-6b32-56c6-ad1c-7deccb13d11c	272.1502	-168.9464	4	6550
